CSheetID,Org,County,Program Name,Category,Service Area,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,Zip,website,Phone,Program Description,COVID19_Updates,Additional Information,Contact Name,Contact Email,Contact Number,Alternative Phone,Column,Column2,Column3
C0012,Department of Social Services,Guilford,Child Support Services,Children & Families,Guilford County-Wide,Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,400 West Market St.,,Greensboro,27401,https://www.guilfordcountync.gov/our-county/child-support,336-641-6438,"Child Support Services (CSS) are available to anyone who needs help collecting child support through a network of state and locally run offices.  The CSS program is not authorized to help with custody, visitation or property settlements.",,"The CSS program is not authorized to help with custody, visitation or property settlements.",,,,,,,
C0013,Department of Social Services,Guilford,Child Support Services,Children & Families,Guilford County-Wide,Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,325 E Russell Ave.,,HIgh Point,27260,https://www.guilfordcountync.gov/our-county/child-support,336-641-7770,"Child Support Services (CSS) are available to anyone who needs help collecting child support through a network of state and locally run offices. The CSS program is not authorized to help with custody, visitation or property settlements.",,"The CSS program is not authorized to help with custody, visitation or property settlements.",,,,,,,
C0014,Department of Social Services,Guilford,Work First Family Assistance,Children & Families,Guilford County-Wide,Tue May 19 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1203 Maple Street,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,336-641-3000,"North Carolina’s Temporary Assistance for Needy Families (TANF) program, called Work First (WF), is based on the premise that parents have a responsibility to support themselves and their children.  The WF program promotes a strengths-based, family-centered practice approach and shares in the mission of the NC DHHS, in collaboration with its partners, to protect the health and safety of all North Carolinians and provide essential human services.  WF provides parents with short-term training and other services to help them become employed and move toward self-sufficiency. Families in which grandparents and relatives are caring for their relative children and legal guardians can receive services and support that prevent children from unnecessarily entering the foster care system.  WF emphasizes three core strategies: Diversion, Work and Retention.",,,,,,,,,
C0015,Department of Social Services,Guilford,Child Protective Services,Children & Families,Guilford County-Wide,Tue May 19 00:00:00 EDT 2020,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,1203 Maple Street,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/social-services/children-services-and-programs,336-641-3795,"Child Protective Services (CPS) serves to protect Guilford County’s children, strengthen the ability of families to protect and care for their own children, minimize harm to children and youth, and to ensure permanence in children’s lives. CPS also offers support to intact families, when appropriate, to stabilize the family situation and strengthen the family’s ability to fulfill parental responsibility for children.",,,,,,,,,
C0016,Department of Social Services,Guilford,Child Protective Services,Children & Families,Guilford County-Wide,Tue May 19 00:00:00 EDT 2020,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,325 E. Russell Avenue,,High Point,27260,https://www.guilfordcountync.gov/our-county/human-services/social-services/children-services-and-programs,336-641-3795,"Child Protective Services (CPS) serves to protect Guilford County’s children, strengthen the ability of families to protect and care for their own children, minimize harm to children and youth, and to ensure permanence in children’s lives. CPS also offers support to intact families, when appropriate, to stabilize the family situation and strengthen the family’s ability to fulfill parental responsibility for children.",,,,,,,,,
C0017,Department of Social Services,Guilford,Emergency Assistance - The Salvation Army Center of Hope,Children & Families,Guilford County-Wide,Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1311 S. Eugene Street,,Greensboro,27405,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,336-235-0368,"The Emergency Assistance Program addresses emergency needs, including Emergency Housing issues involving families with children (risk of homelessness within 24-48 hours), problem pregnancies, domestic violence referrals, parents that are in need of emergency welfare reform liaison assistance and acute medication needs.",,,,,,,,,
C0018,Department of Social Services,Guilford,Work First Family Assistance,Children & Families,Guilford County-Wide,Tue May 19 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,325 E. Russell Avenue,,High Point,27260,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,336-641-7771,"North Carolina’s Temporary Assistance for Needy Families (TANF) program, called Work First (WF), is based on the premise that parents have a responsibility to support themselves and their children. The WF program promotes a strengths-based, family-centered practice approach and shares in the mission of the NC DHHS, in collaboration with its partners, to protect the health and safety of all North Carolinians and provide essential human services. WF provides parents with short-term training and other services to help them become employed and move toward self-sufficiency. Families in which grandparents and relatives are caring for their relative children and legal guardians can receive services and support that prevent children from unnecessarily entering the foster care system. WF emphasizes three core strategies: Diversion, Work and Retention.",,,,,,,,,
C0019,Department of Social Services,Guilford,Emergency Assistance - The Salvation Army ,Children & Families,Guilford County-Wide,Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1200 Eastchester Drive,,High Point,27260,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,336-875-8496,"The Emergency Assistance Program addresses emergency needs, including Emergency Housing issues involving families with children (risk of homelessness within 24-48 hours), problem pregnancies, domestic violence referrals, parents that are in need of emergency welfare reform liaison assistance and acute medication needs.",,For those who reside East of Main St. or in Jamestown,,,,,,,
C0020,Department of Social Services,Guilford,Emergency Assistance -The Salvation Army of High Point & Center of Hope Family Shelter,Children & Families,Guilford County-Wide,Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,301 W. Green Drive,,High Point,27260,https://www.guilfordcountync.gov/our-county/human-services/social-services/family-services-and-programs,336-881-5400,"The Emergency Assistance Program addresses emergency needs, including Emergency Housing issues involving families with children (risk of homelessness within 24-48 hours), problem pregnancies, domestic violence referrals, parents that are in need of emergency welfare reform liaison assistance and acute medication needs.",,For those who reside West of Main St. ,,,,,,,
C0021,Family Service of the Piedmont,Guilford,High Point Center for Child Wellness,Children & Families,Guilford County-Wide,Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,VIrtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,308 Boulevard Street,,HIgh Point,27262,https://www.fspcares.org/,336-801-1171,"The High Point Center for Child Wellness offers comprehensive psychiatric care for children and families who have no health insurance coverage or are on Medicaid. Services include psychiatric assessments, medication management, therapeutic service and case management for children up to age 16.","Current clients will be contacted by their service provider to discuss future servcies. Services will take place over the phone or online, although some services may happen face-to-face. To make a new appointment at the High Point Center for Child Wellness, call the office. Most private insurances are accepted, but United Healthcare is not.  ",,Shenika Sharpe,shenika.sharpe@fspcares.org,336-801-1171,,,,
C0022,Family Service of the Piedmont,Guilford,Fairview Family Resource Center,Children & Families,"High Point, Greater High Point",Thu May 21 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,401 Taylor Avenue,,High Point ,27261,https://www.fspcares.org/fairview-family-resource-center/,336-882-8907,"The Fairview Family Resource Center (FFRC) provides community-based programs and services for families, children and individuals living in the Fairview Elementary School district. Located in the Southside Recreation Center in High Point and includes the following programs and services: The Incredible Years® parenting group, youth leadership development, Southside Community Garden Project, after school/summer activities for school-age children, connections with community resources, High Point Public Library Technology Access Point (TAP), youth computer literacy program, community workshops, and adult learning support",All educational classes are temporarily suspended. Services dealing with healthy parenting will be provided via phone and computer. Call 336-387-6161 to make an appointment.,,"Alexis Prince? 

GC left VM",,336-882-8907,,,,
C0023,Greensboro Parks & Recreation,Guilford,Greensboro Parks & Recreation,Children & Families,Greensboro,Wed Apr 01 00:00:00 EDT 2020,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,10:00am-3:00pm,,,1001 Fourth Street,,Greensboro,27405,https://www.greensboro-nc.gov/departments/parks-recreation,336-373-2558,"The Greensboro Parks and Recreation Department exists to provide professional and diverse leisure opportunities through inclusive programs, facilities, parks, and open space, ensuring that Greensboro is a desirable place to work, live, and play.","Online programs will be live streamed on Facebook as all programs on site have been cancelled or postponed. As of March 25th, all indoor facilities and playgrounds at city parks are closed to the public.  Brandt, Higgins, and Townsend lakes and Barber, Country, Hester, and Keeley parks are open 10 am to 3 pm daily.",,Nasha McCray,ednasha.mccray@greensboro-nc.gov,336-373-2559,336-433-7360,,,
C0024,Greensboro Public Libraries,Guilford,Greensboro Public Libraries,Children & Families,Guilford County-Wide,Fri Apr 03 00:00:00 EDT 2020,N/A,N/A,N/A,N/A,N/A,,,219 N. Church Street,,Greensboro,27401,https://library.greensboro-nc.gov/about-us/covid-19-updates,336-335-5430,"In partnership with the community, the Greensboro Public Library strives to provide free and equal access to information, foster lifelong learning, and inspire the joys of reading.",Check your local library branch for operating hours. ,https://library.greensboro-nc.gov/about-us/covid-19-updates,Brigitte Blanton,brigitte.blanton@greensboro-nc.gov,336-373-2716,336-335-5430,,,
C0025,Guilford Child Development,Guilford,Nurse-Family Partnership,Children & Families,Guilford County-Wide,Wed Aug 12 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1200 Arlington Street,,Greensboro,27406,https://guilfordchilddev.org/parents/baby/,336-369-5080,"Nurse-Family Partnership works by having specially trained nurses regularly visit young, first-time moms-to-be, starting early in the pregnancy, and continuing through the child's second birthday",NFP is not physically seeing clients. They are using telehealth to connect with clients. Referrals are still accepted,,Mishawne Carrington,mishawne.carrington@guilfordchilddev.org,336-369-5080,,,,
C0026,Guilford Child Development,Guilford,High Point Opportunity Center,Children & Families,Guilford County-Wide,Thu Apr 02 00:00:00 EDT 2020,N/A,N/A,N/A,N/A,N/A,,,2039 Brentwood Street,,High Point,27263,https://guilfordchilddev.org/parents/ged/highpoint/,336-887-0082,"HPOC offers classes for parents in GED studies, financial literacy, nutrition. They also offer EDU 119 for parents interested in early education. They provide assistance with bus passes and childcare.",High Point Opportunity Center parents may receive lunch by contacting HPOC Director Janie Costello. Program will continue to follow the Governor's guidance and stay aligned with the school system's closure schedule.,,Janie Costello,janie.costello@guilfordchilddev.org,"336-887-0082 (Staley Child Dev Center, where HPOC is housed)",336-908-0711 (cell),,,
C0027,Guilford Child Development,Guilford,Family Success Center,Children & Families,Guilford County-Wide,Sat Aug 15 00:00:00 EDT 2020,N/A,N/A,N/A,N/A,N/A,,,1200 Arlington Street,,Greensboro,27406,https://guilfordchilddev.org/parents/ged/greensboro/,336-369-5060,"Family Success Center offers GED, workforce readiness, financial literacy, resume writing, computer skills, and health and wellness classes. Childcare is provided for children (ages 0 to 5) if they are not enrolled in Head Start/Early Head Start or the public school system. Participants must have a child enrolled in Head Start/Early Head Start, live in the 27406 zip code, or have been referred by a trusted partner.","Chilcare services are cancelled and offices are closed. Grab-N-Go meals, one-on-one coaching, virtual learning opportunities, and basic needs assistance are available by contacting FSC Director Jaye Webb. New students are still being accepted.",,Melissa Tearry,melissa.tearry@guilfordchilddev.org,336-369-5012,"336-369-5038 (Katina Madison, FSC administrative assistant)",,,
C0028,High Point Medical Center- Esther R. Culp Women's Center,Guilford,Mommy and Me Classes,Children & Families,"High Point, Greater High Point",Tue Apr 21 00:00:00 EDT 2020,,,N/A,,,,,601 N. Elm Street,,High Point,27262,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,336-878-6888,"Mommy and Me Classes are free for moms and their babies, ages 0-8 months old. The classes are presented by nurses, lactation consultants and guest speakers. These relaxed and informal sessions provide opportunities for learning and support. Our goal is to strengthen the parent-infant bond and promote development of strong parenting skills. And, it's a great way to meet other moms and their babies that are experiencing some of the same challenges and rewards as you.",Classes cancelled until further notice,,Cindy will call Grace with an update this week (6/2),,,,,,
C0029,High Point Medical Center- Esther R. Culp Women's Center,Guilford,Expectant Parenting Classes,Children & Families,"High Point, Greater High Point",Tue Apr 21 00:00:00 EDT 2020,N/A,,,,,N/A,,601 N. Elm Street,,High Point,27262,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,336-878-6888," Every Monday in February, April, June, August and October 6:30pm-8:30pm OR Every Saturday in January, March, May, July, September and November  9am to 5 pm. $20 fee. Attend the entire series or your choice of any class:
-Labor, Birth and Pain Control
-Cesarean Birth and Postpartum
-Infant Feeding – Breastfeeding
-Newborn Care",Classes cancelled until further notice,,Cindy will call Grace with an update this week (6/2),,,,,,
C0030,High Point Medical Center- Esther R. Culp Women's Center,Guilford,Pregnancy/Postpartum Support Group,Children & Families,"High Point, Greater High Point",Tue Apr 21 00:00:00 EDT 2020,                                        ,N/A,N/A,,,,,601 N. Elm Street,,High Point,27262,https://www.wakehealth.edu/Locations/Clinics/e/Esther-R-Culp-Womens-Center,336-609-7383,Hope-Filled Hearts is a support group that aims to offer hope and support to women who are having a hard time with adjustments related to pregnancy and the postpartum period. Meetings will include opportunities for open discussion as well as education on topics related to motherhood. The group is facilitated by licensed professional counselor. Group meets the 1st Wednesday of each month at noon and the third Tuesday at 6:30.,Classes cancelled until further notice; participants can reach out if they are interested in participating online - counselor will consider online option if there is enough interest,,Cindy will call Grace with an update this week (6/2),,,,,,
C0031,High Point Parks and Recreation,Guilford,High Point Parks and Recreation,Children & Families,"High Point, Greater High Point",Fri May 08 00:00:00 EDT 2020,N/A,N/A,N/A,N/A,N/A,,,136 Northpoint Avenue,,High Point,27262,https://www.highpointnc.gov/368/Parks-Recreation,336-883-3469,"The High Point Parks and Recreation Department exists to provide professional and diverse leisure opportunities through inclusive programs, facilities, parks, and open space, ensuring that High Point is a desirable place to work, live, and play.","High Point Parks & Recreation’s centers, Administrative office, and Roy B. Culler, Jr. Senior Center will remain closed for all programs and rentals through at least May 22nd.  Piedmont Environmental Center offices will be closed beginning March 28th. Restrooms will remain open Monday through Sunday 9:00am-5:00pm.  All playgrounds are closed.  The Greater High Point Senior Games and all associated events and practices have been postponed.  Special Populations programs, including Special Olympics spring activities and State Summer Games, have been cancelled.  All youth and adult athletics practices, games and field rentals are suspended. This includes collaborating youth athletic groups who participate at all High Point athletic venues.
",,Lee Tillery,lee.tillery@highpointnc.gov,336-883-3469,,,,
C0032,HIgh Point Public Libraries,Guilford,High Point Public Libraries,Children & Families,"High Point, Greater High Point",Tue Apr 21 00:00:00 EDT 2020,N/A,N/A,N/A,N/A,N/A,,,901 N. Main Street,,High Point,27262,https://www.highpointnc.gov/749/Library,336-883-3660,"In partnership with the community, the High Point Public Library strives to provide free and equal access to information, foster lifelong learning, and inspire the joys of reading.",Check your local library branch for operating hours. ,https://highpointpubliclibrary.libguides.com/fromhome,Mary Sizemore,mary.sizemore@highpointnc.gov,336-883-3660,,,,
C0033,Kellin Foundation,Guilford,Girls Leadership Edge,Children & Families,Multi-County,Wed Aug 12 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,2110 Golden Gate Drive,Suite B,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,Girls Leadership Edge is an evidence-based leadership skills development curriculum designed for girls ages 13 to 15.,The physical office is closed. Staff will be telecommuting. Current clients have the option to keep their appointments through teletherapy if they have internet access and a smart phone or computer to use the teletherapy system. You also have the option to reschedule your appointments to a later date. Please call to indicate your preference. ,,McKenzie Stenberg,referral@kellinfoundation.org,336-429-5600,,,,
C0034,Kellin Foundation,Guilford,Lindy's Kids,Children & Families,Multi-County,Wed Aug 12 00:00:00 EDT 2020,N/A,N/A,N/A,N/A,N/A,,,2110 Golden Gate Drive,Suite B,Greensboro,27405,http://www.kellinfoundation.org/,336-429-5600,Lindy's Kids provides assistance to kids and families to help ensure safety and wellness.,"The physical office is closed. Staff will be telecommuting. Current clients have the option to keep their appointments through teletherapy if they have internet access and a smart phone or computer to use the teletherapy system. You also have the option to reschedule your appointments to a later date. Please call to indicate your preference. Unfortunately, for younger clients, play therapy will not be an option through teletherapy. It will be at the discretion of the clinician along with the guardian to determine the structure of the sessions. 
",,McKenzie Stenberg,referral@kellinfoundation.org,336-429-5600,,,,
C0035,Novant Health,Forsyth,Baby Cafe,Children & Families,Multi-County,Wed May 20 00:00:00 EDT 2020,Virtual Meetings Available,Virtual Meetings Available,VIrtual Meetings Available,Virtual Meetings Available,Virtual Meetings Available,,,N/A,,N/A,N/A,https://www.novanthealth.org/home/services/womens-health/maternity-care/breastfeeding-services/baby-cafe.aspx,336-718-8233,"Pregnant and breastfeeding mothers can connect with a lactation consultant and other new moms at Novant Health’s Baby Café locations for breastfeeding help and support. Mothers can weigh babies, get help with positioning and latching babies for breastfeeding, and discuss strategies for pumping and storing milk if mothers are returning to work or school. ","Novant Health has postponed all in-person community events and classes until further notice. Virtual sessions of Baby Café are being offered for all locations. Meet virtually over zoom to connect with lactation consultants and other breastfeeding mothers. No appointment needed, but registration is required.",,Penelope Sluder,pssluder@novanthealth.org,336-718-8233,336-703-3334,,,
C0036,Parents as Teachers,Guilford,Parents as Teachers,Children & Families,Guilford County-Wide,Wed Apr 01 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,415 N. Edgeworth Street,Suite 206,Greensboro,27455,https://patgc.org/,336-691-0024,"Parents as Teachers Guilford County was built on the principle that parents are their child’s first and best teachers. All parents, regardless of personal circumstances, can be empowered to gain control over difficult life events and can interact with their children in a way that facilitates healthy development. Through the combined use of personal visits, group connections, developmental screenings and our resource network, our Parent Educators partner with more than 70 families a year to help build their capacity to support their child’s development.","PATGC has suspended any home visits until further notice.  Services will be provided thru virtual platforms or by phone, whatever is best for each individual family. Staff will not be doing any on-ground group connections but will be looking at ways to help families connect virtually. Staff will still be doing screenings, virtually and connecting families with needed resources as they share their needs.",,Patti Learman,patgc@patcg.org,336-691-0024,,,,
C0037,Piedmont Health Services and Sickle Cell Agency,Guilford,Healthy Start Triad Baby Love Plus,Children & Families,Greensboro,Tue Aug 18 00:00:00 EDT 2020,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,1102 E. Market Street,,Greensboro,27401,https://www.piedmonthealthservices.org/,336-274-1507,"Triad Baby Love Plus (TBLP) is a FREE program designed to promote healthy pregnancies, positive birth outcomes and provide participants with the knowledge and resources needed to give babies their best start in life! The purpose of TBLP is to improve the health of women before, during and after pregnancy; improve father/male partner involvement; address health disparities; build community capacity for healthier babies","Staff are working in the office and remotely from home.  For the safety of clients and staff, we are communicating with clients via phone follow up and Zoom.  Please call (336) 274-1507 to speak to someone regarding enrollment for Healthy Start Triad Baby Love Plus.",,Angela Bratton,abratton@piedmonthealthservices.org,336-274-1507,,,,
