cluster_id_program,Program_Name,Progam,Org,sources,n_sources,M_n_sources,C_n_sources,MSheetID,Street Address.x,City.x,Zip.x,cluster_id_Org,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address.y,City.y,Zip.y,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
1aa3e53f-2988-4abc-82d7-15c341b0a5ab,Boys and Girls Club at Teen Center,Boys and Girls Club at Teen Center,Salvation Army of Greensboro,C0042;  M0113,2,1,1,M0113,400 W. Whittington Street,Greensboro,27406.0,f3b8a928-fffe-469e-a2ca-fa33c260123b,Salvation Army of Greensboro,Boys and Girls Club at Teen Center,Support for Caring for Infants and Children,Child Care Plans,After-School Programs,NA,336-907-3635 Ext. 2,N/A,https://www.salvationarmycarolinas.org/bgcgreensboro/home/,N/A,N/A,N/A,N/A,N/A,NA,NA,400 W. Whittington Street,Greensboro,27406.0,NA,Greater Greensboro,NA,"The Salvation Army Boys & Girls Club of Greensboro offers young people what they need and want most – adults who respect and listen to them; a safe environment where they can have fun and be themselves; and interesting, constructive activities that channel youthful energy into challenging pursuits. The Salvation Army is an evangelical part of the universal Christian Church. Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.",Children 13-18,Anyone,NA,NA,"Education and Career Development, Character and Leadership Development, Spiritual Development, Health and Life Skills, The Arts, Sports, Fitness and Recreation",Varies,No,No,"Scholarships are available. $7 for annual membership, $15 per week for after-school programs, and $50 per week during the summer.",Mary Banks,336-273-5572 ext. 65507,marylou.banks@uss.salvationarmy.org,"Paper application - email, Paper application - drop-off",NA,https://www.salvationarmycarolinas.org/bgcgreensboro/membership-application.pdf,NA,N/A,NA,NA,Duplication allowed,No,Grace Thompson,336-907-3635 x65396,grace.thompson@uss.salvationarmy.org
1bf938bd-9552-4784-9575-54297d603a40,Family Justice Center,Family Justice Center,Family Justice Center,C0057;  M0045,2,1,1,M0045,505 E. Green Drive,High Point,27260.0,56f94ce6-8e39-4b75-af02-89bb9ea02850,Family Justice Center,Family Justice Center,NA,NA,Domestic Violence/Interpersonal Violence Services,NA,336-641-2889,NA,https://www.guilfordcountync.gov/our-county/family-justice-center,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,8:30am-1:00pm,NA,NA,505 E. Green Drive,High Point,27260.0,NA,"High Point, Greater High Point",NA,"Family Justice Center helps victims of domestic violence, sexual assault, child abuse, and elder abuse. At the Centers, victims can come to one location to access a wide range of supportive resources, such as talking with a victim advocate, getting assistance with filing a restraining order, planning for their safety, talking to a law enforcement officer, meeting with a professional to discuss civil and criminal legal issues, receiving medical assistance, and gaining information on how to access shelter and other community resources.",Any,N/A,Yes,Any,NA,Various,N/A,N/A,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Yes,Sonya Desai,NA,NA
1c02a9f0-4c1f-478b-a8d8-e4400ea57a3e,Welfare Reform Liasion Project,Welfare Reform Liasion Project,WFLP,M0122,1,1,0,M0122,863 N. Raleigh St.,Greensboro,27405.0,22a9cc01-ded6-4853-8965-43c949b66e5a,WFLP,Welfare Reform Liasion Project,NA,NA,NA,NA,336-691-5780 (ext. 122),NA,NA,NA,NA,NA,NA,NA,NA,NA,863 N. Raleigh St.,Greensboro,27405.0,NA,County-Wide,"18+, Resident of Guilford County, Income at or below 125% of federal poverty guidelines, GED or HS Diploma",NA,NA,NA,NA,NA,"Job Training, Soft Skills classes, emergency assistance",NA,NA,NA,NA,NA,NA,NA,Call or Email,Call or Email,NA,NA,NA,N,NA,NA,NA,Irving Nunn,NA,irvingn@wrlp.net
1d4ffa00-5285-4f2b-b63f-751b853d0f5b,Food Finder High Point,Food Finder High Point,Greater High Point Food Alliance,M0053;  C0067,2,1,1,M0053,815 Phillips Avenue,High Point,27262.0,cd31eca3-5759-4ef7-9193-970423915fa1,Greater High Point Food Alliance,Food Finder High Point,NA,NA,Food/Nutrition Assistance,NA,336-889-0885,NA,https://findfood.ghpfa.org/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,815 Phillips Avenue,High Point,27262.0,NA,"High Point, Greater High Point",NA,"Resources for finding food in High Point including emergency assistance, food pantries, backpack programs, community gardens, mobile markets, community meals, and farmers markets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carl Vierling,336-899-0885,carl.vierling@ghpfa.org
1dea30b2-15ed-49a3-b76b-a401033e2789,Reading Connections,Reading Connections,Reading Connections,M0098;  C0040,2,1,1,M0098,901 N. Main Street,High Point,27262.0,3b7b19bb-389d-46c7-a546-2ab8a7f803e7,Reading Connections,Reading Connections,Support for a Safe Home,Household Safety/ Material Supports,Literacy Services,Education Assistance,336-884-7323,NA,https://readingconnections.org/,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,9:00am-5:00pm,NA,NA,901 N. Main Street,High Point,27262.0,NA,Guilford County-Wide,NA,"Reading Connections is a nonprofit agency that provides innovative programs designed to improve literacy, language skills, educational equity, and self-esteem for adults in Guilford County, N.C.",18+,"ABE-Native speakers, ESOL non-native speakers",Yes,"English, Spanish, etc (depending on where theyre from)","Improve literacy, language skills, educational equity, and self-esteem",Atleast 1 year,N/A,Casas,Free,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,"Yes, based upon tutor availiability",No,No,Shayla Hilton,336-230-2224,shilton@readingconnections.org
247c25f3-fcfe-40ee-809a-4c40fb97f9fd,Urinalysis,Urinalysis,Ringer Center,M0108;  C0231,2,1,1,M0108,213 E. Bessemer Avenue,Greensboro,27401.0,04199905-234d-45ce-80e1-43a1194375ae,Ringer Center,Urinalysis,NA,NA,Substance Use Services,NA,336-379-7146,NA,https://ringercenter.com/,9am-6pm,9am-6pm,9am-6pm,9am-6pm,9am-6pm,NA,NA,213 E. Bessemer Avenue,Greensboro,27401.0,NA,Greensboro,NA,"Ringer Center offers a Urinalysis Testing which can besent off for testong to a laboratory contract agency.  They offer a five panel dipstick test and ten panel quantitative test only for reqistered clients only, actively engaged or who have been treated before.If you arealready in a program you are being tested throughout the program",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephen W. Ringer,NA,NA
2551a175-2c01-4ee2-8947-ece2c3056c44,Immigrant Health ACCESS Project,Immigrant Health ACCESS Project,UNCG Center for New North Carolinians,M0014;  C0174,2,1,1,M0014,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,4a90020e-a7cb-4d14-8871-317a0bcf2d72,UNCG Center for New North Carolinians,Immigrant Health ACCESS Project,Support for Health Care,Health Care Plans,Healthcare Access Assistance,Immigration Services,336-334-5411,336-334-5413,https://cnnc.uncg.edu/immigrant-health-access-project/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,NA,Multi-County,NA,The Immigrant Health Access Project (IHAP) utilizes the community health worker model to reduce these barriers and promote access to care for uninsured immigrant and refugee adults in Greater Greensboro.,All ages,"Immigrant and refugee adults including individuals from Latin America, Vietnam (including Montagnard populations), Bhutan, Burma, Central Africa (including the Democratic Republic of Congo), Iraq, Sudan, and Syria.",Yes,"Spanish, French, Arabic, Swahili, Kinyarwanda, Kirundi, Sango, Fula, Vietnamese, Jarai, Rhade, Burmese, Nepali, and Hindi.","Interpretation
Sight translation
Care coordination
ACA enrollment/renewal
Orange Card enrollment/renewal","Dependent on clients needs, anywhere from a few weeks to a year or longer",No,No,No,"Kelsey White (immigrants)
Vung Ksor (refugees)","336-934-4427
336-256-1376",ihap@uncg.edu,"Paper application - email, paper application - fax",Paper application - email (fax is fine when not working remotely),https://cnnc.uncg.edu/wp-content/uploads/2019/09/20190923-IHAP-Referral-Form.docx,Within 1 week,"Referring agencies are notified when the referral is received and when contact is made with the client. If the client gives permission, IHAP can continue to share updates with the referring agency as needed.",None,None,No,"IHAP is not able to transport clients, but will assist clients with accessing transportation resources such as Medicaid, Orange Card, or Senior Resources transportation.",Kelsey White,336-934-4427,kawhite7@uncg.edu
255226b1-18bc-49c1-a5db-8de8305f8e8b,Theraputic and Family Foster Care,Theraputic and Family Foster Care,Youth Unlimited,M0140,1,1,0,M0140,338 Burton Ave,High Point,27262.0,6ac1e385-4398-4d60-8b06-7323dca79d98,Youth Unlimited,Theraputic and Family Foster Care,NA,NA,NA,NA,336-883-1361,NA,https://youthunlimited.cc/?page_id=1607,NA,NA,NA,NA,NA,NA,NA,338 Burton Ave,High Point,27262.0,NA,NA,NA,"Youth Unlimited’s Foster Care Program provides both therapeutic and traditional foster care for children from birth to age 18. Because a foster family serves as a temporary home for a child who is unable to live within his or her own family, we diligently prepare foster parents for placements, ensuring each child and family are a good match. We then carefully monitor each foster family setting. Our goal is to give children a safe, nurturing home, and a family to care for them until they can return home (reunification) or be adopted. In our experience, well matched placements, are paramount for successful fostering.",Birth - 18,NA,NA,NA,Foster Placements,NA,NA,NA,NA,Judy Fradenburg,336-861-9243,JudyFradenburg@youthunlimited.cc,NA,NA,NA,NA,NA,NA,NA,NA,NA,Judy Fradenburg,336-861-9243,JudyFradenburg@youthunlimited.cc
29556e84-48e2-46a1-8b76-cf9da68818c4,Parents as Teachers,Parents as Teachers,Parents as Teachers,C0036;  M0094,2,1,1,M0094,415 N. Edgeworth Street Suite 206,Greensboro,27455.0,ede4c877-bf55-49d1-90bf-492d19f5f78f,Parents as Teachers,Parents as Teachers,NA,NA,Home Visiting Programs,NA,336-691-0024,NA,https://patgc.org/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,415 N. Edgeworth Street Suite 206,Greensboro,27455.0,NA,Guilford County-Wide,NA,"Parents as Teachers Guilford County was built on the principle that parents are their child’s first and best teachers. All parents, regardless of personal circumstances, can be empowered to gain control over difficult life events and can interact with their children in a way that facilitates healthy development. Through the combined use of personal visits, group connections, developmental screenings and our resource network, our Parent Educators partner with more than 70 families a year to help build their capacity to support their child’s development.",Birth-5,Parents during pregnancy through kindergarden who live in Guilford County,Yes,"English, Spanish, interpreter provided for refugee and immigrant families with other language needs","home visits, group connections, developmental screenings and resource referrals, parenting education and support",Up to 5 years,NA,NA,NA,Patti Learman,336-691-0024,patgc@patcg.org,Phone or email,NA,NA,NA,NA,NA,NA,NA,NA,Patti Learman,336-691-0024,patgc@patcg.org
2d624033-76c0-44ce-8fd1-fdef6b092974,Youth Services,Youth Services,YWCA High Point,M0136;  C0055,2,1,1,M0136,155 W. Westwood Avenue,HIgh Point,27262.0,59cb0996-4174-429a-81fe-06df98a5e325,YWCA High Point,Youth Services,NA,NA,NA,NA,336-882-4126,NA,https://ywcahp.com/what-we-do/youth-services/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,NA,NA,155 W. Westwood Avenue,HIgh Point,27262.0,NA,"High Point, Greater High Point",NA,Youth Services provides after school care and coverage on teacher workdays and spring break.  Additional services include summer camps and swim lessons,3-12 years old,NA,NA,NA,NA,NA,NA,NA,$25 Youth Membership or $80 family membership,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kathie Szitas,336-882-4126,kszitas@ywcahp.com
3209ca21-cc25-401f-92ce-4c513a110ccb,Child Care Subsidy Program,Child Care Subsidy Program,DHHS,M0152,1,1,0,M0152,1200 Arlington Street,Greensboro,27406.0,eb32deb0-2791-4e59-8a27-8c46aacd8a2d,DHHS,Child Care Subsidy Program,NA,NA,NA,NA,(336) 369-5097,(336) 369-5118,https://www.ncdhhs.gov/assistance/childrens-services/child-care-subsidy,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,NA,NA,1200 Arlington Street,Greensboro,27406.0,NA,NA,Guilford County,The Child Care Subsidy program uses state and federal funds to provide subsidized child care services to eligible families.,NA,"Parent must be working or finding work, in school or a job training program, the child has developmental needs, childis reciveing child protective services, child needs care to support child welfare, or family is in a crisis.",NA,NA,Payment for child care services,1 year,NA,NA,NA,Joyce Fairley,(336) 369-5097,Joyce@guilfordchilddev.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joyce Fairley,336-369-5097,Joyce@guilfordchilddev.org
326b3c3d-7657-4078-9bd2-d89e340c36eb,High Point Transit,High Point Transit,High Point Transit,M0070;  C0235,2,1,1,M0070,716 W. Martin Luther King Jr. Drive,High Point,27262.0,5fe19e9b-100e-41ad-8b33-89060d4f0183,High Point Transit,High Point Transit,Support for a Safe Home,Household Safety/Material Supports,Transportation Services,NA,336-889-7433,NA,https://www.highpointnc.gov/transit,5:45 am - 7:30 pm,5:45 am - 7:30 pm,5:45 am - 7:30 pm,5:45 am - 7:30 pm,5:45 am - 7:30 pm,8:45 am - 5:15 pm,NA,716 W. Martin Luther King Jr. Drive,High Point,27262.0,NA,Guilford County-Wide,NA,"High Point Transit System is the publicly owned and operated public transportation system for the City of High Point. High Point Transit is responsible for all activities required by and related to the operation of a multi-faceted transit system for the citizens of High Point. This includes the operation of fixed route bus service, ADA complementary paratransit service, and door-to-door demand responsive service for the elderly.",All ages,Must be a resident of High Point,No,N/A,Public transportation system,As needed,N/A,N/A,"Regualr fare- $1, 60 years or older-$.50. $40 a month",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,Must have bus fair card or pay once you reach the bus,NA,NA,NA
