Column,Organization Name,Program Name,Domain Name,Service Factor,Service Type 1,Service Type 2,Phone Number,Fax Number,Website,Mon- Hours,Tues-Hours,Wed-Hours,Thurs-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,City,Zip,Multiple Locations,Location Eligibility,Population Served,Brief Program Description,Age Range for Services,Specific Eligibility Criteria,Services Provided in other languages,Specify Languages,Services Offered,Duration/Length of Service,Evidence Based,Validated Screening Tools,Fees,Contact Name for Referrals,Phone Number 2,Email Address,Accepted Referral Process,Preferred Referral,Referral Form Provided,Referral Source Response Time,Practice for Following Up with Referring Organization,Current Waitlist,General Waitlist Trends,Duplication Policy,Transportation Policy,Primary Program Contact Name,Phone Number 3,Email address
M0011,UNCG Center for New North Carolinians,Oakwood Forest Community Center,,,,,336-256-0354,336-334-5416,https://cnnc.uncg.edu/community-centers/,N/A,N/A,N/A,N/A,N/A,,,,,,,Greensboro,,"The CNNC Community Centers Program facilitate the integration of immigrants and refugees into the community with equity and a sense of justice through a focus on: education, health, employment, cultural brokering, referral, and advocacy.",All ages,Residents of neighborhood and the surrounding community,Yes,,"ESOL classes, employment readiness sessions, American cultural and social education, after-school tutoring for K-12 students, social enrichment activities (field trips and summer programming) for youth, child care for toddlers, health and safety classes, weekly visits by Congregational Nurses",Varies,No,No,No,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu,Paper application - fax,Paper application - fax,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,,,,,,,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu
M0012,UNCG Center for New North Carolinians,Community Enrichment Center,,,,,336-365-6822,336-334-5417,https://cnnc.uncg.edu/community-centers/,N/A,N/A,N/A,N/A,N/A,,,,,,,Greensboro,,"The CNNC Community Centers Program facilitate the integration of immigrants and refugees into the community with equity and a sense of justice through a focus on: education, health, employment, cultural brokering, referral, and advocacy.",All ages,Residents of neighborhood and the surrounding community,Yes,,"ESOL classes, employment readiness sessions, American cultural and social education, after-school tutoring for K-12 students, social enrichment activities (field trips and summer programming) for youth, child care for toddlers, health and safety classes, weekly visits by Congregational Nurses",Varies,No,No,No,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu,Paper application - fax,Paper application - fax,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,,,,,,,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu
M0013,UNCG Center for New North Carolinians,Greensboro Refugee Employment Advancement Team,Support for a Safe Home,Household Safety/Material Supports,Job Attainment Services,Immigration Services,336-334-5466,336-334-5413,https://cnnc.uncg.edu/great/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"916 W. Gate City Boulevard, Suite A",Greensboro,27403.0,,Multi-County,,"The Greensboro Refugee Employment Advancement Team – GREAT – is a collaborative effort of local refugee-serving agencies. Church World Service Greensboro (CWS), New Arrivals Institute (NAI), Montagnard Dega Association (MDA), and CNNC work together to support low-income refugees and immigrants in finding and retaining stable, family-sustaining employment.",Ages 16 and above,Low-income immigrant and refugee adults living in the greater Greensboro area.,Yes,,"Employment planning
Computer literacy classes
Vocational case management services
Overseas degree evaluation and translation",,No,No,No,Natacha Nikokeza,336-334-5466,n_nikoke@uncg.edu,"Call, Email, Online application, Paper application",,https://cnnc.uncg.edu/wp-content/uploads/2018/07/Community-Centers-Referral-Form-1.doc,,,,,,,Holly Sienkiewicz,336-334-9814,holly.cnnc@uncg.edu
M0014,UNCG Center for New North Carolinians,Immigrant Health ACCESS Project,Support for Health Care,Health Care Plans,Healthcare Access Assistance,Immigration Services,336-334-5411,336-334-5413,https://cnnc.uncg.edu/immigrant-health-access-project/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,,Multi-County,,The Immigrant Health Access Project (IHAP) utilizes the community health worker model to reduce these barriers and promote access to care for uninsured immigrant and refugee adults in Greater Greensboro.,All ages,"Immigrant and refugee adults including individuals from Latin America, Vietnam (including Montagnard populations), Bhutan, Burma, Central Africa (including the Democratic Republic of Congo), Iraq, Sudan, and Syria.",Yes,"Spanish, French, Arabic, Swahili, Kinyarwanda, Kirundi, Sango, Fula, Vietnamese, Jarai, Rhade, Burmese, Nepali, and Hindi.","Interpretation
Sight translation
Care coordination
ACA enrollment/renewal
Orange Card enrollment/renewal","Dependent on clients needs, anywhere from a few weeks to a year or longer",No,No,No,"Kelsey White (immigrants)
Vung Ksor (refugees)","336-934-4427
336-256-1376",ihap@uncg.edu,"Paper application - email, paper application - fax",Paper application - email (fax is fine when not working remotely),https://cnnc.uncg.edu/wp-content/uploads/2019/09/20190923-IHAP-Referral-Form.docx,Within 1 week,"Referring agencies are notified when the referral is received and when contact is made with the client. If the client gives permission, IHAP can continue to share updates with the referring agency as needed.",None,None,No  ,"IHAP is not able to transport clients, but will assist clients with accessing transportation resources such as Medicaid, Orange Card, or Senior Resources transportation.",Kelsey White,336-934-4427,kawhite7@uncg.edu
M0015,UNCG Center for New North Carolinians,Immigration Services,Support for a Safe Home,Family and Community Safety,Immigration Services,,336-256-1062,336-334-5413,https://cnnc.uncg.edu/immigration-services/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"915 W. Gate City Boulevard, Suite A",Greensboro,27403.0,,Multi-County,,"Recognizing the contributions of immigrants and the value of reuniting families, the mission of the CNNC Immigration Services Program is to give affordable access to those who are eligible to immigrate and/or become U.S Citizens and need immigration counseling.",All ages,Individuals who are eligible to immigrate,Yes,,"Family immigration
Naturalization/citizenship
Permanent residence
DACA renewals
Travel documents
Fiance(e) petitions
Consular processing
Affidavit of support
Remove conditions of residence",Varies,No,No,Yes,Kathy Hinshaw,336-256-1065,kathyhinshaw.cnnc@uncg.edu,"Call, Email ",,No,,,,,No  ,None,Kathy Hinshaw,336-256-1065,kathyhinshaw.cnnc@uncg.edu
M0016,UNCG Center for New North Carolinians,Thriving at Three,Support for Caring for Infants and Children,Parent-Child Relationship,Home Visiting Programs,Immigration Services,336-256-1066,336-334-5413,https://cnnc.uncg.edu/thriving-at-three/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,915 W. Gate City Blvd. Suite A,Greensboro,27403.0,,Greensboro,"Low-income latino, Greensboro Resident, Child under 3","The purpose of Thriving at Three is to assure that Latino immigrant children in Greensboro have a positive and strong foundation from birth to three. The CNNC accomplishes this goal by delivering long-term at-home services to at-risk families until the child’s third year – partnering with the parents to provide direct intervention, parenting education, group meetings, case management, referrals, and care coordination for up to the child’s third year.",Mothers 18+ with young children (0 to 3),Low-income Latino immigrant and refugee mothers,Yes,Spanish,"Care coordination
Home visiting
Women's group
Parenting skills",Until the child is three years old,No,Ages and Stages,No,Krycya Flores,336-256-1066,krycya.cnnc@uncg.edu,"Call, Email",Email,https://cnnc.uncg.edu/wp-content/uploads/2019/01/TAT-Referral-Form-2019-2.doc,,Confirm once client is enrolled or contact for follow up questions,None,Few weeks - 6 months,No  ,None,Krycya Flores,336-256-1066,krycya.cnnc@uncg.edu
M0017,Children's Home Society,HealthySteps,,,,,,,,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,604 Meadow St.,Greensboro,27405.0,,Guilford County,,Healthy Steps is a program to ensure babies and toddlers recieve nurturing parenting and have healthy development. Specialist meet with parents of children birth to age 3 at children's well-child visits in pediatric offices in Guilford-County.,,,,,,,,,,,,,,,,,,,,,,,,
M0018,Children's Home Society,Partnering for Healthy Parenting,,,,,336-337-3253,,chsnc.org,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,4545 Premier Dr. ,High Point ,,,High Point,Open to all Patients Premier Pediatrics ,Partnering for Healthy Parenting provides the opportunity for parent education within pediatric well-visits. ,,,,,"Behavior Concerns, Developmental Concerns, Provide Resources, Social Inclusion",,,No,,,,,"Call, Email, Ask during Peds Visit",Email; Call (Must leave Voicemail),,,,N,,,,Candace Burge,,
M0019,Cone Health,Breastfeeding Fundamentals,Support for Caring for Infants and Children,Parent-Child Relationship,Breastfeeding Classes,,336-832-6680,N/A,https://www.conehealth.com/patients-visitors/classes/results/?topicId=681,,Virtual Meetings Available,,,,,,"1200 N. Elm Street
",Greensboro,27401.0,,Multi-County,,"Join for an interactive virtual breastfeeding class. A live instructor will teach families what to expect in the first days and weeks of breastfeeding your newborn. This class covers basic concepts of breastfeeding including: latching, positioning, challenges, and maintaining your milk supply while away from your baby. Breastfeeding is a very special journey for a new family and child. Like any new skill, breastfeeding will be more successful with early preparation by increasing your knowledge and confidence. *This course is held virtually on the second and fourth Tuesdays of each month from 7:00pm-9:00pm*",All ages,People who are pregnant or recently gave birth,No,,Breastfeeding classes,Two hours,No,No,No,Sophia Law,336-832-6680,sophia.law@conehealth.com,"None/walk-in, Call, Email",None/walk-in,N/A,Within 24 hours,N/A,N/A,N/A,No,No,Sophia Law,336-832-6680,sophia.law@conehealth.com
M0020,Cone Health Behavioral Health,Cone Health Behavioral Health - Inpatient Services,Support for Parent(s),Parent Emotional Support,Adult Mental Health Services,,24-Hour Helpline: 336-832-9700 / 800-711-2635 ,,https://www.conehealth.com/services/behavioral-health/inpatient-care/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,700 Walter Reed Drive,Greensboro,27403.0,,Multi-County,,"Cone Health Behavioral Health's short-term, hospital-based programs are designed to immediately care for adults, young adults, adolescents and children who need a safe environment to begin a journey to recovery. When you or a loved one experiences major depression, severe anxiety, hallucinations or delusions, with or without a chemical dependency, Cone Health’s Behavioral Health Hospital and Alamance Regional Medical Center offer exceptional and compassionate adult inpatient care.",Adults,"Adults experiencing major depression, severe anxiety, hallucinations or delusions, with or without a chemical dependency",,,"Mental health screening, learn about a diagnosed condition, strengthen coping skills, receive medication, individual therapy, group therapy, family therapy, peer support, receive biofeedback training",Four to five days,,,Yes,,,,None/walk-in,,,,,None,None,,No,Debra Milikan,,debra.milikan@conehealth.com
M0021,Cone Health Behavioral Health,Cone Health Behavioral Health - Inpatient Services,Support for Caring for Infants and Children,Management of Infant Crying/Child Behavior,Child and Family Mental Health Services,,24-Hour Helpline: 336-832-9700 / 800-711-2635 ,,https://www.conehealth.com/services/behavioral-health/inpatient-care/,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,700 Walter Reed Drive,Greensboro,27403.0,,Multi-County,,"Cone Health Behavioral Health's short-term, hospital-based programs are designed to immediately care for adults, young adults, adolescents and children who need a safe environment to begin a journey to recovery. Designed specifically for the needs of children ages 5 to 17, consider Behavioral Health Hospital’s 30-bed youth unit. Our providers and inpatient services support children diagnosed with a range of mental health issues, including anxiety, attention deficit hyperactivity disorder (ADHD), mood disorders, oppositional defiance disorder (ODD), schizophrenia, or trauma. We welcome parents to participate in their child’s treatment as much as possible. Our collaborative approach reinforces progress and teaches parents how to provide support at home.",Children ages 5-17,"Children struggling with mental health issues like anxiety, ADHD, mood disorders, oppositional defiance disorder, schizophrenia, or trauma",,,"Mental health screening, learn about a diagnosed condition, develop and strengthen coping skills, individual therapy, group therapy, family therapy, receive medication, attend academic classes in an accredited school setting, play and exercise in recreational areas, receive biofeedback training",Five to six days,,,Yes,,,,None/walk-in,,,,,None,None,,No,Debra Milikan,,debra.milikan@conehealth.com
M0022,Cone Health Behavioral Health,Cone Health Behavioral Health - Adolescent Intensive Outpatient Program,,Substance Abuse,Substance Use Services,Child and Family Mental Health Services, 336-832-9800,,https://www.conehealth.com/services/behavioral-health/outpatient-behavioral-health-care/,3:30pm-6:30pm,,3:30pm-6:30pm,3:30pm-6:30pm,,,,"510 N. Elam Avenue, Suite 301",Greensboro,27403.0,,,,"The Adolescent Intensive Outpatient Program is an evidence-based substance abuse program designed to meet the unique mental health needs of at-risk adolescents with substance abuse or co-occurring disorders. The goal of the program is to reduce psychiatric symptomatology for adolescents ages 13-17 years old and to improve the young person’s ability to function successfully at home, at school and in the community. ",Children ages 13-17,Children struggling with substance use or co-occuring disorders,,,,,Yes,,Yes,,,,,,,,,,,,,Debra Milikan,,debra.milikan@conehealth.com
M0023,Cone Health Behavioral Health,Cone Health Behavioral Health - Individual Therapy,Support for Parent(s),Parent Emotional Support,Adult Mental Health Services,Child and Family Mental Health Services,24-Hour Helpline: 336-832-9700 / 800-711-2635 ,,https://www.conehealth.com/services/behavioral-health/inpatient-care/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,700 Walter Reed Drive,Greensboro,27403.0,,,,"Children, adolescents and adults benefit from innovative, evidence-based care. Our experienced psychiatrists, psychologists, physicians, nurses and licensed therapists collaborate to understand your unique needs and to provide treatments to restore your well-being. Children’s therapy to addresses emotional, psychological and medical issues is offered in partnership with the Cone Health Developmental and Psychological Center.",All ages,"Children struggling with emotional, psychological, and medical issues",,,Individual therapy,,Yes,,Yes,,,,,,,,,,,,,Debra Milikan,,debra.milikan@conehealth.com
M0024,Cone Health Behavioral Health,Cone Health Behavioral Health - Group Therapy,Support for Parent(s),Parent Emotional Support,Adult Mental Health Services,,336-832-1366,,https://www.conehealth.com/services/behavioral-health/outpatient-behavioral-health-care/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"510 N. Elam Avenue, Suite 301",Greensboro,27403.0,,,,"For adults diagnosed with a mental health condition, Cone Health Behavioral Health's outpatient group therapy programs can help you learn to function better. If someone is interested in getting high quality care without an inpatient stay, consider joining the specialized group for depression, anxiety, bipolar and/or personality disorders.
",Adults,Adults diagnosed with a mental health condition,,,"Explore ways to cope with depression, anxiety, anger, grief and mood swings; Build self-esteem; Improve relationship skills; Learn how to manage medications",,,,"Yes, will bill to private insurance, will not bill to Medicaid",,,,None/walk-in,,,,,,,,,Debra Milikan,,debra.milikan@conehealth.com
M0025,Cone Health Behavioral Health,Cone Health Behavioral Health - Partial Hospitalization,Support for Parent(s),Parent Well Being,Adult Mental Health Services,,336-832-1353,,https://www.conehealth.com/services/behavioral-health/outpatient-behavioral-health-care/,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"510 N. Elam Avenue, Suite 301",Greensboro,27403.0,,,,"Short-term, comprehensive mental health care; once enrolled in this program, you will live at home or on your college campus and visit the Behavioral Health Hospital in Greensboro for at least five hours each weekday.",Adults,Adults experiencing a mental health crisis,,,"Cognitive behavioral therapy and dialectical skills-based group, which aims to help you develop constructive ways of acting and includes individual and group therapy; Occupational therapy; Education on reducing your risk of a mental health crisis; Guidance about taking medications; Nursing care, as necessary.",Two to four weeks,,,"Yes, will bill to private insurance, will not bill to Medicaid",,336-832-1353,,"None/walk-in, Call, Professional/Partner Referral",,,,,,,,,Debra Milikan,,debra.milikan@conehealth.com
M0026,Department of Public Health,Adopt A Mom,,,Home Visiting Programs,,336-641-6775,,https://www.guilfordcountync.gov/our-county/human-services/health-department/health-and-wellness/coalition-on-infant-mortality-and-the-adopt-a-mom-program,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,Virtual Appointments Available,,,"1203 Maple Street
","Greensboro
",27405.0,,Guilford County-Wide,,"The Adopt-A-Mom Program is sponsored by the Coalition on Infant Mortality and coordinates prenatal care for low to medium-risk pregnant women who are not eligible for Medicaid, do not have private insurance to cover the cost of care, and cannot afford to pay out of pocket for care.",Prenatal,Women who are pregnant with low to medium risk factors and not eligible for medicade,Yes,English and Spanish,Connect women who do not qualify for Medicaid and have no/limited access to private insurance prenatal care,Throughout pregnancy,,,,Leandra Vernon,336-641-7513,lvernon@guilfordcountync.gov,Intake by phone,,,,,,,,,Leandra Vernon,336-641-7513,lvernon@guilfordcountync.gov
